doc_id,brand,n_sentences,n_key_points,document,reference_summary,extractive_reference,hallucinated_summary
D0110,ミドリワークス,10,2,装着感が軽くて疲れません。友人に勧められて購入を決めました。レビューを見てから買うか迷いました。梱包はごく普通の段ボールでした。装着感が軽くて長時間でも平気でした。週末にしか使っていないので耐久性はまだ分かりません。以前は別のメーカーの物を使っていました。使い始めてまだ日が浅いです。音質が値段のわりに良かったです。音質がこの値段のわりに良いです。,コストパフォーマンスに優れる。長時間の使用でも負担が少ない。,音質が値段のわりに良かったです。装着感が軽くて疲れません。,コストパフォーマンスに優れる。長時間の使用でも負担が少ない。なおアカネ電機製で保証は87か月です。
D0111,ミドリワークス,16,3,特に不満は今のところありません。バッテリーは31時間前後持ちました。週末にしか使っていないので耐久性はまだ分かりません。バッテリーが31時間ほど持ちました。装着感が軽くて長時間でも平気でした。バッテリーの持ちが31時間ほどで良いです。梱包はごく普通の段ボールでした。友人に勧められて購入を決めました。説明書が分かりにくいのが残念です。バッテリーが31時間くらい持ちます。装着感が軽く疲れにくいです。家族へのプレゼント用に買いました。説明書が分かりにくいです。以前は別のメーカーの物を使っていました。装着感が軽くて疲れません。説明書が分かりにくく設定に手間取りました。,電池の持続時間が長い。長時間の使用でも負担が少ない。同梱資料の品質が低い。,バッテリーの持ちが31時間ほどで良いです。装着感が軽くて疲れません。説明書が分かりにくく設定に手間取りました。,電池の持続時間が長い。長時間の使用でも負担が少ない。同梱資料の品質が低い。なおノースピーク製で保証は88か月です。
D0112,ソライロ,10,2,箱は少し大きめでした。色は写真で見た印象とほぼ同じです。家族へのプレゼント用に買いました。レビューを見てから買うか迷いました。発送が早いので4日で届きました。発送が早くて注文から4日で届きました。同じ物をもう一つ買おうか検討中です。バッテリーが31時間ほど持ちました。バッテリーの持ちが31時間ほどで良いです。以前は別のメーカーの物を使っていました。,電池の持続時間が長い。到着までが速い。,バッテリーの持ちが31時間ほどで良いです。発送が早くて注文から4日で届きました。,電池の持続時間が長い。到着までが速い。なおハヤブサ製で保証は89か月です。
D0113,ソライロ,12,3,箱は少し大きめでした。バッテリーの持ちが26時間ほどで良いです。説明書が分かりにくいのが残念です。発送が早くて注文から3日で届きました。バッテリーは26時間前後持ちました。発送が早くて3日で届きました。週末にしか使っていないので耐久性はまだ分かりません。友人に勧められて購入を決めました。梱包はごく普通の段ボールでした。発送が早いので3日で届きました。説明書が分かりにくく設定に手間取りました。レビューを見てから買うか迷いました。,同梱資料の品質が低い。電池の持続時間が長い。到着までが速い。,説明書が分かりにくく設定に手間取りました。バッテリーの持ちが26時間ほどで良いです。発送が早いので3日で届きました。,同梱資料の品質が低い。電池の持続時間が長い。到着までが速い。なおアカネ電機製で保証は76か月です。
D0114,ノースピーク,16,3,音質がこの値段のわりに良いです。バッテリーが12時間ほど持ちました。家族へのプレゼント用に買いました。音質が値段のわりに良かったです。週末にしか使っていないので耐久性はまだ分かりません。音質がこの値段のわりに良いと感じました。使い始めてまだ日が浅いです。バッテリーの持ちが12時間ほどで良いです。音質は8846円という値段のわりに良いと思います。ノースピークのサポート対応が丁寧です。箱は少し大きめでした。バッテリーが12時間くらい持ちます。ノースピークのサポート対応が丁寧だと感じました。自宅と職場の両方で使う予定です。ノースピークのサポート対応が丁寧でした。特に不満は今のところありません。,電池の持続時間が長い。問い合わせ窓口の品質が高い。コストパフォーマンスに優れる。,バッテリーが12時間くらい持ちます。ノースピークのサポート対応が丁寧でした。音質がこの値段のわりに良いです。,電池の持続時間が長い。問い合わせ窓口の品質が高い。コストパフォーマンスに優れる。なおハヤブサ製で保証は61か月です。
D0115,ハヤブサ,15,3,説明書が分かりにくいのが残念です。説明書が分かりにくかったです。ハヤブサのサポート対応が丁寧で助かりました。使い始めてまだ日が浅いです。音質は2840円という値段のわりに良いと思います。以前は別のメーカーの物を使っていました。ハヤブサのサポート対応が丁寧だと感じました。自宅と職場の両方で使う予定です。ハヤブサのサポート対応が丁寧です。箱は少し大きめでした。音質が値段のわりに良かったです。音質がこの値段のわりに良いと感じました。説明書が分かりにくく設定に手間取りました。説明書が分かりにくいです。音質がこの値段のわりに良いです。,問い合わせ窓口の品質が高い。同梱資料の品質が低い。コストパフォーマンスに優れる。,ハヤブサのサポート対応が丁寧です。説明書が分かりにくく設定に手間取りました。音質がこの値段のわりに良いと感じました。,問い合わせ窓口の品質が高い。同梱資料の品質が低い。コストパフォーマンスに優れる。なおミドリワークス製で保証は55か月です。
D0116,ソライロ,14,2,ソライロのサポート対応が丁寧だと感じました。ソライロのサポート対応が丁寧で助かりました。同じ物をもう一つ買おうか検討中です。レビューを見てから買うか迷いました。梱包はごく普通の段ボールでした。箱は少し大きめでした。使い始めてまだ日が浅いです。家族へのプレゼント用に買いました。特に不満は今のところありません。ソライロのサポート対応が丁寧です。説明書が分かりにくいです。説明書が分かりにくく設定に手間取りました。ソライロのサポート対応が丁寧でした。説明書が分かりにくかったです。,同梱資料の品質が低い。問い合わせ窓口の品質が高い。,説明書が分かりにくかったです。ソライロのサポート対応が丁寧だと感じました。,同梱資料の品質が低い。問い合わせ窓口の品質が高い。なおノースピーク製で保証は51か月です。
D0117,ミドリワークス,14,2,発送が早くて3日で届きました。発送が早く3日で届いています。ミドリワークスのサポート対応が丁寧でした。レビューを見てから買うか迷いました。色は写真で見た印象とほぼ同じです。以前は別のメーカーの物を使っていました。箱は少し大きめでした。自宅と職場の両方で使う予定です。ミドリワークスのサポート対応が丁寧で助かりました。家族へのプレゼント用に買いました。発送が早くて注文から3日で届きました。特に不満は今のところありません。ミドリワークスのサポート対応が丁寧だと感じました。発送が早いので3日で届きました。,問い合わせ窓口の品質が高い。到着までが速い。,ミドリワークスのサポート対応が丁寧で助かりました。発送が早いので3日で届きました。,問い合わせ窓口の品質が高い。到着までが速い。なおノースピーク製で保証は96か月です。
D0118,アカネ電機,12,2,レビューを見てから買うか迷いました。アカネ電機のサポート対応が丁寧でした。装着感が軽いので長時間でも疲れません。友人に勧められて購入を決めました。装着感が軽くて長時間でも平気でした。箱は少し大きめでした。アカネ電機のサポート対応が丁寧です。特に不満は今のところありません。アカネ電機のサポート対応が丁寧だと感じました。使い始めてまだ日が浅いです。週末にしか使っていないので耐久性はまだ分かりません。自宅と職場の両方で使う予定です。,長時間の使用でも負担が少ない。問い合わせ窓口の品質が高い。,装着感が軽いので長時間でも疲れません。アカネ電機のサポート対応が丁寧でした。,長時間の使用でも負担が少ない。問い合わせ窓口の品質が高い。なおミドリワークス製で保証は72か月です。
D0119,ノースピーク,12,2,バッテリーが29時間ほど持ちました。装着感が軽いので長時間でも疲れません。特に不満は今のところありません。装着感が軽くて長時間でも平気でした。家族へのプレゼント用に買いました。週末にしか使っていないので耐久性はまだ分かりません。箱は少し大きめでした。色は写真で見た印象とほぼ同じです。装着感が軽くて疲れません。バッテリーは29時間前後持ちました。レビューを見てから買うか迷いました。バッテリーの持ちが29時間ほどで良いです。,電池の持続時間が長い。長時間の使用でも負担が少ない。,バッテリーの持ちが29時間ほどで良いです。装着感が軽くて疲れません。,電池の持続時間が長い。長時間の使用でも負担が少ない。なおアカネ電機製で保証は89か月です。
D0120,ノースピーク,10,2,音質がこの値段のわりに良いと感じました。音質は21380円という値段のわりに良いと思います。特に不満は今のところありません。発送が早いので2日で届きました。音質が値段のわりに良かったです。レビューを見てから買うか迷いました。発送が早く2日で届いています。家族へのプレゼント用に買いました。以前は別のメーカーの物を使っていました。発送が早くて注文から2日で届きました。,到着までが速い。コストパフォーマンスに優れる。,発送が早くて注文から2日で届きました。音質は21380円という値段のわりに良いと思います。,到着までが速い。コストパフォーマンスに優れる。なおミドリワークス製で保証は83か月です。
D0121,ミドリワークス,14,3,音質は18204円という値段のわりに良いと思います。装着感が軽くて長時間でも平気でした。梱包はごく普通の段ボールでした。色は写真で見た印象とほぼ同じです。装着感が軽くて疲れません。週末にしか使っていないので耐久性はまだ分かりません。装着感が軽く疲れにくいです。装着感が軽いので長時間でも疲れません。レビューを見てから買うか迷いました。説明書が分かりにくく設定に手間取りました。音質がこの値段のわりに良いと感じました。使い始めてまだ日が浅いです。説明書が分かりにくいです。同じ物をもう一つ買おうか検討中です。,同梱資料の品質が低い。コストパフォーマンスに優れる。長時間の使用でも負担が少ない。,説明書が分かりにくいです。音質がこの値段のわりに良いと感じました。装着感が軽くて長時間でも平気でした。,同梱資料の品質が低い。コストパフォーマンスに優れる。長時間の使用でも負担が少ない。なおアカネ電機製で保証は79か月です。
D0122,ソライロ,14,3,音質がこの値段のわりに良いです。ソライロのサポート対応が丁寧で助かりました。梱包はごく普通の段ボールでした。自宅と職場の両方で使う予定です。レビューを見てから買うか迷いました。音質がこの値段のわりに良いと感じました。箱は少し大きめでした。以前は別のメーカーの物を使っていました。音質は28352円という値段のわりに良いと思います。音質が値段のわりに良かったです。発送が早くて注文から2日で届きました。ソライロのサポート対応が丁寧だと感じました。発送が早いので2日で届きました。発送が早くて2日で届きました。,到着までが速い。コストパフォーマンスに優れる。問い合わせ窓口の品質が高い。,発送が早くて注文から2日で届きました。音質は28352円という値段のわりに良いと思います。ソライロのサポート対応が丁寧で助かりました。,到着までが速い。コストパフォーマンスに優れる。問い合わせ窓口の品質が高い。なおアカネ電機製で保証は74か月です。
D0123,アカネ電機,10,2,説明書が分かりにくく設定に手間取りました。家族へのプレゼント用に買いました。バッテリーは11時間前後持ちました。同じ物をもう一つ買おうか検討中です。バッテリーが11時間くらい持ちます。友人に勧められて購入を決めました。バッテリーの持ちが11時間ほどで良いです。説明書が分かりにくいのが残念です。バッテリーが11時間ほど持ちました。梱包はごく普通の段ボールでした。,電池の持続時間が長い。同梱資料の品質が低い。,バッテリーは11時間前後持ちました。説明書が分かりにくいのが残念です。,電池の持続時間が長い。同梱資料の品質が低い。なおノースピーク製で保証は85か月です。
D0124,アカネ電機,12,3,以前は別のメーカーの物を使っていました。バッテリーの持ちが15時間ほどで良いです。箱は少し大きめでした。発送が早いので3日で届きました。自宅と職場の両方で使う予定です。音質がこの値段のわりに良いと感じました。バッテリーは15時間前後持ちました。使い始めてまだ日が浅いです。発送が早く3日で届いています。週末にしか使っていないので耐久性はまだ分かりません。音質は12725円という値段のわりに良いと思います。発送が早くて注文から3日で届きました。,コストパフォーマンスに優れる。到着までが速い。電池の持続時間が長い。,音質は12725円という値段のわりに良いと思います。発送が早くて注文から3日で届きました。バッテリーは15時間前後持ちました。,コストパフォーマンスに優れる。到着までが速い。電池の持続時間が長い。なおハヤブサ製で保証は67か月です。
D0125,ミドリワークス,12,3,レビューを見てから買うか迷いました。装着感が軽いので長時間でも疲れません。装着感が軽くて疲れません。バッテリーは10時間前後持ちました。以前は別のメーカーの物を使っていました。友人に勧められて購入を決めました。同じ物をもう一つ買おうか検討中です。自宅と職場の両方で使う予定です。バッテリーが10時間ほど持ちました。説明書が分かりにくいです。家族へのプレゼント用に買いました。説明書が分かりにくかったです。,電池の持続時間が長い。同梱資料の品質が低い。長時間の使用でも負担が少ない。,バッテリーは10時間前後持ちました。説明書が分かりにくかったです。装着感が軽くて疲れません。,電池の持続時間が長い。同梱資料の品質が低い。長時間の使用でも負担が少ない。なおハヤブサ製で保証は75か月です。
D0126,ノースピーク,14,3,バッテリーが29時間ほど持ちました。自宅と職場の両方で使う予定です。バッテリーの持ちが29時間ほどで良いです。バッテリーは29時間前後持ちました。装着感が軽くて疲れません。使い始めてまだ日が浅いです。特に不満は今のところありません。装着感が軽いので長時間でも疲れません。発送が早くて3日で届きました。発送が早いので3日で届きました。レビューを見てから買うか迷いました。バッテリーが29時間くらい持ちます。以前は別のメーカーの物を使っていました。装着感が軽く疲れにくいです。,到着までが速い。電池の持続時間が長い。長時間の使用でも負担が少ない。,発送が早いので3日で届きました。バッテリーが29時間くらい持ちます。装着感が軽く疲れにくいです。,到着までが速い。電池の持続時間が長い。長時間の使用でも負担が少ない。なおソライロ製で保証は56か月です。
D0127,ソライロ,16,3,バッテリーが13時間ほど持ちました。装着感が軽くて長時間でも平気でした。バッテリーが13時間くらい持ちます。バッテリーの持ちが13時間ほどで良いです。装着感が軽いので長時間でも疲れません。ソライロのサポート対応が丁寧で助かりました。家族へのプレゼント用に買いました。特に不満は今のところありません。週末にしか使っていないので耐久性はまだ分かりません。装着感が軽く疲れにくいです。バッテリーは13時間前後持ちました。友人に勧められて購入を決めました。ソライロのサポート対応が丁寧でした。梱包はごく普通の段ボールでした。装着感が軽くて疲れません。自宅と職場の両方で使う予定です。,長時間の使用でも負担が少ない。問い合わせ窓口の品質が高い。電池の持続時間が長い。,装着感が軽くて疲れません。ソライロのサポート対応が丁寧でした。バッテリーが13時間くらい持ちます。,長時間の使用でも負担が少ない。問い合わせ窓口の品質が高い。電池の持続時間が長い。なおアカネ電機製で保証は94か月です。
D0128,ミドリワークス,14,3,音質がこの値段のわりに良いと感じました。装着感が軽く疲れにくいです。装着感が軽くて疲れません。装着感が軽いので長時間でも疲れません。週末にしか使っていないので耐久性はまだ分かりません。装着感が軽くて長時間でも平気でした。音質がこの値段のわりに良いです。バッテリーの持ちが6時間ほどで良いです。友人に勧められて購入を決めました。使い始めてまだ日が浅いです。自宅と職場の両方で使う予定です。バッテリーは6時間前後持ちました。箱は少し大きめでした。音質が値段のわりに良かったです。,コストパフォーマンスに優れる。長時間の使用でも負担が少ない。電池の持続時間が長い。,音質がこの値段のわりに良いと感じました。装着感が軽くて長時間でも平気でした。バッテリーの持ちが6時間ほどで良いです。,コストパフォーマンスに優れる。長時間の使用でも負担が少ない。電池の持続時間が長い。なおハヤブサ製で保証は98か月です。
D0129,ソライロ,15,3,以前は別のメーカーの物を使っていました。ソライロのサポート対応が丁寧です。装着感が軽く疲れにくいです。音質がこの値段のわりに良いと感じました。音質が値段のわりに良かったです。装着感が軽くて疲れません。ソライロのサポート対応が丁寧でした。家族へのプレゼント用に買いました。ソライロのサポート対応が丁寧で助かりました。色は写真で見た印象とほぼ同じです。友人に勧められて購入を決めました。音質がこの値段のわりに良いです。音質は17769円という値段のわりに良いと思います。装着感が軽くて長時間でも平気でした。週末にしか使っていないので耐久性はまだ分かりません。,問い合わせ窓口の品質が高い。コストパフォーマンスに優れる。長時間の使用でも負担が少ない。,ソライロのサポート対応が丁寧です。音質は17769円という値段のわりに良いと思います。装着感が軽くて疲れません。,問い合わせ窓口の品質が高い。コストパフォーマンスに優れる。長時間の使用でも負担が少ない。なおアカネ電機製で保証は57か月です。
D0130,ノースピーク,16,3,梱包はごく普通の段ボールでした。説明書が分かりにくく設定に手間取りました。説明書が分かりにくいのが残念です。同じ物をもう一つ買おうか検討中です。音質が値段のわりに良かったです。発送が早くて注文から1日で届きました。発送が早く1日で届いています。自宅と職場の両方で使う予定です。色は写真で見た印象とほぼ同じです。発送が早いので1日で届きました。使い始めてまだ日が浅いです。発送が早くて1日で届きました。説明書が分かりにくかったです。音質がこの値段のわりに良いです。説明書が分かりにくいです。友人に勧められて購入を決めました。,同梱資料の品質が低い。到着までが速い。コストパフォーマンスに優れる。,説明書が分かりにくいのが残念です。発送が早く1日で届いています。音質がこの値段のわりに良いです。,同梱資料の品質が低い。到着までが速い。コストパフォーマンスに優れる。なおアカネ電機製で保証は95か月です。
D0131,ソライロ,13,2,自宅と職場の両方で使う予定です。説明書が分かりにくいです。発送が早くて1日で届きました。家族へのプレゼント用に買いました。発送が早くて注文から1日で届きました。説明書が分かりにくかったです。同じ物をもう一つ買おうか検討中です。以前は別のメーカーの物を使っていました。発送が早く1日で届いています。説明書が分かりにくく設定に手間取りました。発送が早いので1日で届きました。梱包はごく普通の段ボールでした。箱は少し大きめでした。,到着までが速い。同梱資料の品質が低い。,発送が早いので1日で届きました。説明書が分かりにくく設定に手間取りました。,到着までが速い。同梱資料の品質が低い。なおノースピーク製で保証は71か月です。
D0132,アカネ電機,11,2,以前は別のメーカーの物を使っていました。使い始めてまだ日が浅いです。発送が早いので1日で届きました。レビューを見てから買うか迷いました。発送が早く1日で届いています。アカネ電機のサポート対応が丁寧で助かりました。アカネ電機のサポート対応が丁寧です。発送が早くて注文から1日で届きました。週末にしか使っていないので耐久性はまだ分かりません。発送が早くて1日で届きました。アカネ電機のサポート対応が丁寧でした。,問い合わせ窓口の品質が高い。到着までが速い。,アカネ電機のサポート対応が丁寧です。発送が早くて1日で届きました。,問い合わせ窓口の品質が高い。到着までが速い。なおソライロ製で保証は64か月です。
D0133,アカネ電機,14,2,友人に勧められて購入を決めました。特に不満は今のところありません。音質がこの値段のわりに良いと感じました。音質がこの値段のわりに良いです。アカネ電機のサポート対応が丁寧でした。音質が値段のわりに良かったです。アカネ電機のサポート対応が丁寧です。アカネ電機のサポート対応が丁寧だと感じました。色は写真で見た印象とほぼ同じです。音質は14424円という値段のわりに良いと思います。アカネ電機のサポート対応が丁寧で助かりました。レビューを見てから買うか迷いました。梱包はごく普通の段ボールでした。自宅と職場の両方で使う予定です。,コストパフォーマンスに優れる。問い合わせ窓口の品質が高い。,音質が値段のわりに良かったです。アカネ電機のサポート対応が丁寧です。,コストパフォーマンスに優れる。問い合わせ窓口の品質が高い。なおノースピーク製で保証は65か月です。
D0134,ソライロ,13,3,自宅と職場の両方で使う予定です。説明書が分かりにくいのが残念です。使い始めてまだ日が浅いです。ソライロのサポート対応が丁寧です。説明書が分かりにくいです。装着感が軽くて疲れません。週末にしか使っていないので耐久性はまだ分かりません。色は写真で見た印象とほぼ同じです。説明書が分かりにくかったです。ソライロのサポート対応が丁寧で助かりました。装着感が軽いので長時間でも疲れません。特に不満は今のところありません。以前は別のメーカーの物を使っていました。,長時間の使用でも負担が少ない。問い合わせ窓口の品質が高い。同梱資料の品質が低い。,装着感が軽いので長時間でも疲れません。ソライロのサポート対応が丁寧です。説明書が分かりにくいです。,長時間の使用でも負担が少ない。問い合わせ窓口の品質が高い。同梱資料の品質が低い。なおハヤブサ製で保証は53か月です。
D0135,ハヤブサ,14,2,バッテリーが17時間くらい持ちます。ハヤブサのサポート対応が丁寧でした。バッテリーが17時間ほど持ちました。週末にしか使っていないので耐久性はまだ分かりません。ハヤブサのサポート対応が丁寧です。以前は別のメーカーの物を使っていました。使い始めてまだ日が浅いです。ハヤブサのサポート対応が丁寧で助かりました。家族へのプレゼント用に買いました。レビューを見てから買うか迷いました。バッテリーは17時間前後持ちました。特に不満は今のところありません。ハヤブサのサポート対応が丁寧だと感じました。バッテリーの持ちが17時間ほどで良いです。,問い合わせ窓口の品質が高い。電池の持続時間が長い。,ハヤブサのサポート対応が丁寧だと感じました。バッテリーが17時間くらい持ちます。,問い合わせ窓口の品質が高い。電池の持続時間が長い。なおアカネ電機製で保証は85か月です。
D0136,アカネ電機,11,2,友人に勧められて購入を決めました。バッテリーの持ちが20時間ほどで良いです。梱包はごく普通の段ボールでした。特に不満は今のところありません。自宅と職場の両方で使う予定です。装着感が軽いので長時間でも疲れません。週末にしか使っていないので耐久性はまだ分かりません。バッテリーが20時間くらい持ちます。家族へのプレゼント用に買いました。以前は別のメーカーの物を使っていました。装着感が軽くて疲れません。,電池の持続時間が長い。長時間の使用でも負担が少ない。,バッテリーが20時間くらい持ちます。装着感が軽くて疲れません。,電池の持続時間が長い。長時間の使用でも負担が少ない。なおノースピーク製で保証は71か月です。
D0137,ミドリワークス,14,3,説明書が分かりにくく設定に手間取りました。装着感が軽く疲れにくいです。ミドリワークスのサポート対応が丁寧です。説明書が分かりにくいのが残念です。装着感が軽くて疲れません。レビューを見てから買うか迷いました。以前は別のメーカーの物を使っていました。装着感が軽くて長時間でも平気でした。ミドリワークスのサポート対応が丁寧で助かりました。ミドリワークスのサポート対応が丁寧でした。家族へのプレゼント用に買いました。説明書が分かりにくいです。使い始めてまだ日が浅いです。同じ物をもう一つ買おうか検討中です。,問い合わせ窓口の品質が高い。長時間の使用でも負担が少ない。同梱資料の品質が低い。,ミドリワークスのサポート対応が丁寧でした。装着感が軽くて長時間でも平気でした。説明書が分かりにくく設定に手間取りました。,問い合わせ窓口の品質が高い。長時間の使用でも負担が少ない。同梱資料の品質が低い。なおソライロ製で保証は57か月です。
