listing_id,category
L04763,家電
L03924,家電
L03053,ホビー
L03287,スポーツ
L04309,家電
L00190,ファッション
L01836,家電
L03248,ベビー・キッズ
L02349,ベビー・キッズ
L03677,家電
L03698,スポーツ
L01459,スポーツ
L03046,ファッション
L01198,家電
L04718,家電
L03564,ファッション
L00142,家電
L04521,ホビー
L03239,本・音楽
L00926,ファッション
L00305,ベビー・キッズ
L03138,ファッション
L04293,家電
L04377,ホビー
L04824,家電
L03745,スポーツ
L01405,ホビー
L01945,家電
L00706,スポーツ
L03144,本・音楽
L00572,スポーツ
L00849,ホビー
L02890,スポーツ
L03104,ファッション
L03205,家電
L04814,本・音楽
L00370,ファッション
L00858,ファッション
L03115,家電
L02342,家電
L01303,ベビー・キッズ
L03620,ファッション
L01012,家電
L03824,ホビー
L02424,ファッション
L04525,家電
L02047,家電
L03523,スポーツ
L04545,ファッション
L04926,家電
L00380,ベビー・キッズ
L04435,家電
L02460,本・音楽
L03650,ホビー
L02156,ファッション
