doc_id,reference_summary,extractive_reference
D0038,長時間の使用でも負担が少ない。到着までが速い。電池の持続時間が長い。,装着感が軽く疲れにくいです。発送が早く2日で届いています。バッテリーの持ちが23時間ほどで良いです。
D0039,コストパフォーマンスに優れる。到着までが速い。,音質が値段のわりに良かったです。発送が早く4日で届いています。
D0040,到着までが速い。長時間の使用でも負担が少ない。,発送が早くて3日で届きました。装着感が軽くて疲れません。
D0041,到着までが速い。コストパフォーマンスに優れる。,発送が早いので1日で届きました。音質は19534円という値段のわりに良いと思います。
D0042,電池の持続時間が長い。コストパフォーマンスに優れる。,バッテリーが13時間くらい持ちます。音質がこの値段のわりに良いです。
D0043,問い合わせ窓口の品質が高い。到着までが速い。,ハヤブサのサポート対応が丁寧です。発送が早くて2日で届きました。
D0044,同梱資料の品質が低い。長時間の使用でも負担が少ない。,説明書が分かりにくく設定に手間取りました。装着感が軽くて長時間でも平気でした。
D0045,長時間の使用でも負担が少ない。電池の持続時間が長い。,装着感が軽く疲れにくいです。バッテリーが19時間ほど持ちました。
D0046,コストパフォーマンスに優れる。長時間の使用でも負担が少ない。,音質は19025円という値段のわりに良いと思います。装着感が軽くて疲れません。
D0047,問い合わせ窓口の品質が高い。同梱資料の品質が低い。,ノースピークのサポート対応が丁寧で助かりました。説明書が分かりにくいです。
D0048,コストパフォーマンスに優れる。到着までが速い。問い合わせ窓口の品質が高い。,音質がこの値段のわりに良いです。発送が早いので3日で届きました。ミドリワークスのサポート対応が丁寧だと感じました。
D0049,コストパフォーマンスに優れる。電池の持続時間が長い。,音質がこの値段のわりに良いと感じました。バッテリーが39時間ほど持ちました。
D0050,コストパフォーマンスに優れる。到着までが速い。問い合わせ窓口の品質が高い。,音質が値段のわりに良かったです。発送が早くて1日で届きました。ハヤブサのサポート対応が丁寧でした。
D0051,コストパフォーマンスに優れる。問い合わせ窓口の品質が高い。,音質がこの値段のわりに良いです。ハヤブサのサポート対応が丁寧だと感じました。
D0052,電池の持続時間が長い。同梱資料の品質が低い。問い合わせ窓口の品質が高い。,バッテリーは17時間前後持ちました。説明書が分かりにくく設定に手間取りました。アカネ電機のサポート対応が丁寧で助かりました。
D0053,同梱資料の品質が低い。電池の持続時間が長い。,説明書が分かりにくかったです。バッテリーが9時間ほど持ちました。
D0054,長時間の使用でも負担が少ない。問い合わせ窓口の品質が高い。,装着感が軽いので長時間でも疲れません。アカネ電機のサポート対応が丁寧でした。
D0055,コストパフォーマンスに優れる。問い合わせ窓口の品質が高い。,音質がこの値段のわりに良いです。アカネ電機のサポート対応が丁寧だと感じました。
D0056,問い合わせ窓口の品質が高い。長時間の使用でも負担が少ない。,ソライロのサポート対応が丁寧でした。装着感が軽いので長時間でも疲れません。
D0057,到着までが速い。コストパフォーマンスに優れる。,発送が早くて注文から3日で届きました。音質は8894円という値段のわりに良いと思います。
D0058,問い合わせ窓口の品質が高い。到着までが速い。,ミドリワークスのサポート対応が丁寧でした。発送が早くて3日で届きました。
D0059,電池の持続時間が長い。長時間の使用でも負担が少ない。,バッテリーは20時間前後持ちました。装着感が軽くて長時間でも平気でした。
D0060,問い合わせ窓口の品質が高い。電池の持続時間が長い。長時間の使用でも負担が少ない。,ハヤブサのサポート対応が丁寧で助かりました。バッテリーが27時間くらい持ちます。装着感が軽くて疲れません。
D0061,電池の持続時間が長い。コストパフォーマンスに優れる。問い合わせ窓口の品質が高い。,バッテリーが11時間くらい持ちます。音質がこの値段のわりに良いです。ミドリワークスのサポート対応が丁寧です。
D0062,長時間の使用でも負担が少ない。同梱資料の品質が低い。,装着感が軽くて疲れません。説明書が分かりにくく設定に手間取りました。
D0063,電池の持続時間が長い。到着までが速い。,バッテリーは15時間前後持ちました。発送が早くて注文から4日で届きました。
D0064,問い合わせ窓口の品質が高い。電池の持続時間が長い。,アカネ電機のサポート対応が丁寧でした。バッテリーの持ちが17時間ほどで良いです。
D0065,問い合わせ窓口の品質が高い。電池の持続時間が長い。,ミドリワークスのサポート対応が丁寧です。バッテリーが10時間くらい持ちます。
D0066,同梱資料の品質が低い。電池の持続時間が長い。コストパフォーマンスに優れる。,説明書が分かりにくく設定に手間取りました。バッテリーは34時間前後持ちました。音質がこの値段のわりに良いです。
D0067,問い合わせ窓口の品質が高い。コストパフォーマンスに優れる。,アカネ電機のサポート対応が丁寧だと感じました。音質がこの値段のわりに良いと感じました。
D0068,到着までが速い。問い合わせ窓口の品質が高い。コストパフォーマンスに優れる。,発送が早いので1日で届きました。ハヤブサのサポート対応が丁寧でした。音質がこの値段のわりに良いです。
D0069,電池の持続時間が長い。問い合わせ窓口の品質が高い。同梱資料の品質が低い。,バッテリーが23時間くらい持ちます。ミドリワークスのサポート対応が丁寧だと感じました。説明書が分かりにくいです。
D0070,コストパフォーマンスに優れる。到着までが速い。問い合わせ窓口の品質が高い。,音質が値段のわりに良かったです。発送が早くて注文から4日で届きました。ミドリワークスのサポート対応が丁寧です。
D0071,問い合わせ窓口の品質が高い。コストパフォーマンスに優れる。,ノースピークのサポート対応が丁寧で助かりました。音質がこの値段のわりに良いと感じました。
D0072,到着までが速い。長時間の使用でも負担が少ない。同梱資料の品質が低い。,発送が早くて注文から1日で届きました。装着感が軽くて長時間でも平気でした。説明書が分かりにくいのが残念です。
D0073,長時間の使用でも負担が少ない。同梱資料の品質が低い。,装着感が軽く疲れにくいです。説明書が分かりにくいです。
D0074,コストパフォーマンスに優れる。同梱資料の品質が低い。,音質がこの値段のわりに良いです。説明書が分かりにくいです。
D0075,同梱資料の品質が低い。到着までが速い。,説明書が分かりにくいです。発送が早く4日で届いています。
D0076,問い合わせ窓口の品質が高い。到着までが速い。,ノースピークのサポート対応が丁寧です。発送が早く1日で届いています。
D0077,到着までが速い。コストパフォーマンスに優れる。電池の持続時間が長い。,発送が早くて4日で届きました。音質がこの値段のわりに良いです。バッテリーの持ちが40時間ほどで良いです。
D0078,電池の持続時間が長い。到着までが速い。,バッテリーの持ちが13時間ほどで良いです。発送が早くて3日で届きました。
D0079,同梱資料の品質が低い。長時間の使用でも負担が少ない。電池の持続時間が長い。,説明書が分かりにくいのが残念です。装着感が軽くて長時間でも平気でした。バッテリーの持ちが18時間ほどで良いです。
D0080,長時間の使用でも負担が少ない。同梱資料の品質が低い。,装着感が軽いので長時間でも疲れません。説明書が分かりにくいです。
D0081,問い合わせ窓口の品質が高い。同梱資料の品質が低い。電池の持続時間が長い。,アカネ電機のサポート対応が丁寧だと感じました。説明書が分かりにくいです。バッテリーが25時間ほど持ちました。
D0082,到着までが速い。長時間の使用でも負担が少ない。,発送が早く3日で届いています。装着感が軽いので長時間でも疲れません。
D0083,長時間の使用でも負担が少ない。電池の持続時間が長い。,装着感が軽くて疲れません。バッテリーは8時間前後持ちました。
D0084,電池の持続時間が長い。到着までが速い。長時間の使用でも負担が少ない。,バッテリーが11時間くらい持ちます。発送が早く3日で届いています。装着感が軽くて疲れません。
D0085,電池の持続時間が長い。到着までが速い。,バッテリーは26時間前後持ちました。発送が早いので2日で届きました。
D0086,到着までが速い。問い合わせ窓口の品質が高い。,発送が早く4日で届いています。ノースピークのサポート対応が丁寧で助かりました。
D0087,問い合わせ窓口の品質が高い。同梱資料の品質が低い。,アカネ電機のサポート対応が丁寧だと感じました。説明書が分かりにくく設定に手間取りました。
D0088,電池の持続時間が長い。コストパフォーマンスに優れる。同梱資料の品質が低い。,バッテリーが35時間ほど持ちました。音質がこの値段のわりに良いと感じました。説明書が分かりにくかったです。
D0089,到着までが速い。問い合わせ窓口の品質が高い。同梱資料の品質が低い。,発送が早くて注文から3日で届きました。ソライロのサポート対応が丁寧だと感じました。説明書が分かりにくいです。
D0090,長時間の使用でも負担が少ない。電池の持続時間が長い。,装着感が軽くて疲れません。バッテリーの持ちが15時間ほどで良いです。
D0091,長時間の使用でも負担が少ない。コストパフォーマンスに優れる。,装着感が軽いので長時間でも疲れません。音質は23662円という値段のわりに良いと思います。
D0092,問い合わせ窓口の品質が高い。到着までが速い。,ソライロのサポート対応が丁寧です。発送が早く3日で届いています。
D0093,同梱資料の品質が低い。到着までが速い。電池の持続時間が長い。,説明書が分かりにくいです。発送が早く1日で届いています。バッテリーは23時間前後持ちました。
D0094,同梱資料の品質が低い。長時間の使用でも負担が少ない。電池の持続時間が長い。,説明書が分かりにくいです。装着感が軽くて長時間でも平気でした。バッテリーが17時間くらい持ちます。
D0095,到着までが速い。同梱資料の品質が低い。長時間の使用でも負担が少ない。,発送が早くて3日で届きました。説明書が分かりにくいです。装着感が軽いので長時間でも疲れません。
D0096,到着までが速い。長時間の使用でも負担が少ない。,発送が早いので3日で届きました。装着感が軽いので長時間でも疲れません。
D0097,長時間の使用でも負担が少ない。同梱資料の品質が低い。電池の持続時間が長い。,装着感が軽いので長時間でも疲れません。説明書が分かりにくいです。バッテリーの持ちが16時間ほどで良いです。
D0098,同梱資料の品質が低い。コストパフォーマンスに優れる。電池の持続時間が長い。,説明書が分かりにくいです。音質は17075円という値段のわりに良いと思います。バッテリーが17時間くらい持ちます。
D0099,問い合わせ窓口の品質が高い。同梱資料の品質が低い。電池の持続時間が長い。,ノースピークのサポート対応が丁寧だと感じました。説明書が分かりにくいです。バッテリーが21時間ほど持ちました。
