question_id,question,model,product_key,answer_passage_id,answer_value,answerable,paraphrased
Q0169,O924-B の重量は梱包込みで何グラムですか。,O924-B,P0028,,,0,0
Q0230,O983-C に付属するケースの色は何色ですか。,O983-C,P0081,,,0,0
Q0480,B566-C はどれくらいの期間サポートを受けられますか。,B566-C,P0055,K00221,12,1,1
Q0170,E284-C の返送はいつまで可能ですか。,E284-C,P0165,K00663,14,1,1
Q0310,A284-B はどのくらいの重さですか。,A284-B,P0052,K00208,142,1,1
Q0464,J532-C はどのくらいの重さですか。,J532-C,P0123,K00492,158,1,1
Q0402,S416-C の保証期間は何か月ですか。,S416-C,P0037,K00149,24,1,0
Q0465,U944-C はどれくらいの期間サポートを受けられますか。,U944-C,P0041,K00165,18,1,1
Q0562,P102-B の保証期間は何か月ですか。,P102-B,P0082,K00329,24,1,0
Q0059,C427-B の保証期間は何か月ですか。,C427-B,P0004,K00017,12,1,0
Q0280,P102-B はどれくらいの期間サポートを受けられますか。,P102-B,P0082,K00329,24,1,1
Q0439,I458-C は何日以内なら返品できますか。,I458-C,P0069,K00279,7,1,0
Q0146,F863-B は何日以内なら返品できますか。,F863-B,P0010,K00043,7,1,0
Q0125,J914-C の保証期間は何か月ですか。,J914-C,P0175,K00701,12,1,0
Q0122,B994-C に付属するケーブルは何本ですか。,B994-C,P0159,K00638,2,1,0
Q0208,I416-B の返送はいつまで可能ですか。,I416-B,P0016,K00067,14,1,1
Q0467,I468-C は返品時に送料がかかりますか。,I468-C,P0173,,,0,0
Q0049,M468-B の返送はいつまで可能ですか。,M468-B,P0076,K00307,8,1,1
Q0050,W962-B の保証期間は何か月ですか。,W962-B,P0148,K00593,6,1,0
Q0067,M735-C に付属するケースの色は何色ですか。,M735-C,P0129,,,0,0
Q0135,R467-C はどのくらいの重さですか。,R467-C,P0087,K00348,209,1,1
Q0382,M735-B の保証期間は何か月ですか。,M735-B,P0128,K00513,6,1,0
Q0283,U944-C の保証期間は何か月ですか。,U944-C,P0041,K00165,18,1,0
Q0068,X983-B は何日以内なら返品できますか。,X983-B,P0098,K00395,7,1,0
Q0265,S959-B の保証期間は何か月ですか。,S959-B,P0088,K00353,12,1,0
Q0136,G926-C に付属するケーブルは何本ですか。,G926-C,P0013,K00054,2,1,0
Q0364,G624-C に付属するケーブルは何本ですか。,G624-C,P0065,K00262,1,1,0
Q0274,G624-C を買うとコードは何本ついてきますか。,G624-C,P0065,K00262,1,1,1
Q0388,Z166-B は返品時に送料がかかりますか。,Z166-B,P0154,,,0,0
Q0031,U662-B の保証期間は何か月ですか。,U662-B,P0092,K00369,36,1,0
Q0576,Q104-B の重量は何グラムですか。,Q104-B,P0032,K00128,457,1,0
Q0162,V898-B に付属するケースの色は何色ですか。,V898-B,P0042,,,0,0
Q0486,C427-C は返品時に送料がかかりますか。,C427-C,P0005,,,0,0
Q0531,I468-B に付属するケーブルは何本ですか。,I468-B,P0172,K00690,2,1,0
Q0324,A495-B に付属するケースの色は何色ですか。,A495-B,P0000,,,0,0
Q0181,E795-C の重量は梱包込みで何グラムですか。,E795-C,P0113,,,0,0
Q0232,P102-C の返送はいつまで可能ですか。,P102-C,P0083,K00335,8,1,1
Q0503,K765-C の保証は延長できますか。,K765-C,P0125,,,0,0
Q0442,B566-B はどれくらいの期間サポートを受けられますか。,B566-B,P0054,K00217,12,1,1
Q0227,I362-B の返送はいつまで可能ですか。,I362-B,P0120,K00483,14,1,1
Q0075,N185-C は返品時に送料がかかりますか。,N185-C,P0027,,,0,0
Q0533,V569-C はどのくらいの重さですか。,V569-C,P0147,K00588,217,1,1
Q0417,D826-B の重量は何グラムですか。,D826-B,P0162,K00648,181,1,0
Q0145,P944-C はどれくらいの期間サポートを受けられますか。,P944-C,P0031,K00125,12,1,1
Q0483,U944-B を買うとコードは何本ついてきますか。,U944-B,P0040,K00162,1,1,1
Q0493,E722-B はどれくらいの期間サポートを受けられますか。,E722-B,P0008,K00033,18,1,1
Q0494,C997-C の保証期間は何か月ですか。,C997-C,P0161,K00645,24,1,0
Q0396,Q104-C を買うとコードは何本ついてきますか。,Q104-C,P0033,K00134,3,1,1
Q0479,K431-B を買うとコードは何本ついてきますか。,K431-B,P0176,K00706,3,1,1
Q0410,C819-B は何日以内なら返品できますか。,C819-B,P0056,K00227,7,1,0
Q0191,I416-B の保証は延長できますか。,I416-B,P0016,,,0,0
Q0418,T559-B の返送はいつまで可能ですか。,T559-B,P0038,K00155,14,1,1
Q0354,E284-B の消費電力は何ワットですか。,E284-B,P0164,,,0,0
Q0546,Y859-C は何日以内なら返品できますか。,Y859-C,P0049,K00199,30,1,0
Q0202,Y812-B はどれくらいの期間サポートを受けられますか。,Y812-B,P0100,K00401,18,1,1
Q0090,P944-B はどのくらいの重さですか。,P944-B,P0030,K00120,356,1,1
Q0431,B401-C はどれくらいの期間サポートを受けられますか。,B401-C,P0107,K00429,18,1,1
Q0022,I458-B の重量は何グラムですか。,I458-B,P0068,K00272,238,1,0
Q0003,C427-C はどれくらいの期間サポートを受けられますか。,C427-C,P0005,K00021,24,1,1
Q0500,I362-C に付属するケーブルは何本ですか。,I362-C,P0121,K00486,2,1,0
Q0179,O983-B の返送はいつまで可能ですか。,O983-B,P0080,K00323,30,1,1
Q0330,Z456-B はどのくらいの重さですか。,Z456-B,P0050,K00200,453,1,1
Q0171,X121-B は何日以内なら返品できますか。,X121-B,P0150,K00603,30,1,0
Q0008,I458-B は何日以内なら返品できますか。,I458-B,P0068,K00275,8,1,0
Q0219,S416-B を買うとコードは何本ついてきますか。,S416-B,P0036,K00146,2,1,1
Q0508,W366-B はどれくらいの期間サポートを受けられますか。,W366-B,P0044,K00177,18,1,1
Q0332,E795-B を買うとコードは何本ついてきますか。,E795-B,P0112,K00450,3,1,1
Q0089,K187-C の返送はいつまで可能ですか。,K187-C,P0021,K00087,14,1,1
Q0037,F439-B の保証期間は何か月ですか。,F439-B,P0114,K00457,6,1,0
Q0477,N185-C の重量は梱包込みで何グラムですか。,N185-C,P0027,,,0,0
Q0373,R433-B はどれくらいの期間サポートを受けられますか。,R433-B,P0138,K00553,24,1,1
Q0220,E722-C を買うとコードは何本ついてきますか。,E722-C,P0009,K00038,2,1,1
Q0397,L419-B の返送はいつまで可能ですか。,L419-B,P0022,K00091,8,1,1
Q0036,M468-C の重量は何グラムですか。,M468-C,P0077,K00308,269,1,0
Q0019,Z456-C は何日以内なら返品できますか。,Z456-C,P0051,K00207,14,1,0
Q0538,O924-C の重量は何グラムですか。,O924-C,P0029,K00116,131,1,0
Q0489,L419-B に付属するケーブルは何本ですか。,L419-B,P0022,K00090,3,1,0
Q0359,A886-C の保証期間は何か月ですか。,A886-C,P0157,K00629,6,1,0
Q0236,X328-B の重量は梱包込みで何グラムですか。,X328-B,P0046,,,0,0
Q0512,G624-C はどれくらいの期間サポートを受けられますか。,G624-C,P0065,K00261,12,1,1
Q0129,J556-B はどれくらいの期間サポートを受けられますか。,J556-B,P0070,K00281,36,1,1
Q0127,O983-C の消費電力は何ワットですか。,O983-C,P0081,,,0,0
Q0527,W962-C に付属するケースの色は何色ですか。,W962-C,P0149,,,0,0
Q0372,K431-B は何日以内なら返品できますか。,K431-B,P0176,K00707,14,1,0
Q0018,F953-C の保証は延長できますか。,F953-C,P0063,,,0,0
Q0107,F467-C は何日以内なら返品できますか。,F467-C,P0167,K00671,8,1,0
Q0270,S959-C の重量は梱包込みで何グラムですか。,S959-C,P0089,,,0,0
Q0556,E795-B はどれくらいの期間サポートを受けられますか。,E795-B,P0112,K00449,6,1,1
Q0365,D826-C はどのくらいの重さですか。,D826-C,P0163,K00652,416,1,1
Q0435,T359-C の重量は何グラムですか。,T359-C,P0143,K00572,217,1,0
Q0485,J556-B に付属するケーブルは何本ですか。,J556-B,P0070,K00282,2,1,0
Q0523,G926-C の重量は何グラムですか。,G926-C,P0013,K00052,165,1,0
Q0393,H948-C はどのくらいの重さですか。,H948-C,P0015,K00060,431,1,1
Q0094,Q104-C の保証は延長できますか。,Q104-C,P0033,,,0,0
Q0322,Z460-B はどのくらいの重さですか。,Z460-B,P0102,K00408,371,1,1
Q0252,M735-C の保証期間は何か月ですか。,M735-C,P0129,K00517,36,1,0
Q0566,I416-C の返送はいつまで可能ですか。,I416-C,P0017,K00071,8,1,1
Q0551,J914-B の重量は何グラムですか。,J914-B,P0174,K00696,411,1,0
Q0432,U662-B の返送はいつまで可能ですか。,U662-B,P0092,K00371,30,1,1
Q0591,E284-B の重量は何グラムですか。,E284-B,P0164,K00656,314,1,0
Q0461,H907-B に付属するケースの色は何色ですか。,H907-B,P0066,,,0,0
Q0327,C520-B は何日以内なら返品できますか。,C520-B,P0108,K00435,8,1,0
Q0505,Y285-B はどのくらいの重さですか。,Y285-B,P0152,K00608,151,1,1
Q0590,Z456-C に付属するケーブルは何本ですか。,Z456-C,P0051,K00206,3,1,0
Q0071,F953-C は何日以内なら返品できますか。,F953-C,P0063,K00255,8,1,0
Q0315,Z166-B はどのくらいの重さですか。,Z166-B,P0154,K00616,428,1,1
Q0187,I416-B は何日以内なら返品できますか。,I416-B,P0016,K00067,14,1,0
Q0355,L418-B はどれくらいの期間サポートを受けられますか。,L418-B,P0126,K00505,24,1,1
Q0341,C520-B に付属するケーブルは何本ですか。,C520-B,P0108,K00434,2,1,0
Q0549,F439-B の重量は何グラムですか。,F439-B,P0114,K00456,215,1,0
Q0320,H948-C は何日以内なら返品できますか。,H948-C,P0015,K00063,14,1,0
Q0131,J914-C を買うとコードは何本ついてきますか。,J914-C,P0175,K00702,2,1,1
Q0513,B566-C の返送はいつまで可能ですか。,B566-C,P0055,K00223,7,1,1
Q0177,E795-C の返送はいつまで可能ですか。,E795-C,P0113,K00455,30,1,1
Q0021,Z456-B の重量は梱包込みで何グラムですか。,Z456-B,P0050,,,0,0
Q0153,R433-C の返送はいつまで可能ですか。,R433-C,P0139,K00559,8,1,1
Q0433,W366-C を買うとコードは何本ついてきますか。,W366-C,P0045,K00182,2,1,1
Q0269,S959-C の重量は何グラムですか。,S959-C,P0089,K00356,371,1,0
Q0213,G624-C はどれくらいの期間サポートを受けられますか。,G624-C,P0065,K00261,12,1,1
Q0237,G812-C に付属するケーブルは何本ですか。,G812-C,P0117,K00470,1,1,0
Q0289,Q104-C の保証期間は何か月ですか。,Q104-C,P0033,K00133,36,1,0
Q0082,Y859-C はどれくらいの期間サポートを受けられますか。,Y859-C,P0049,K00197,12,1,1
Q0425,T359-B を買うとコードは何本ついてきますか。,T359-B,P0142,K00570,1,1,1
Q0447,W308-C はどれくらいの期間サポートを受けられますか。,W308-C,P0097,K00389,12,1,1
Q0058,V898-B を買うとコードは何本ついてきますか。,V898-B,P0042,K00170,1,1,1
Q0038,Z456-C の返送はいつまで可能ですか。,Z456-C,P0051,K00207,14,1,1
Q0361,T198-B の保証期間は何か月ですか。,T198-B,P0090,K00361,18,1,0
Q0440,K454-B の重量は何グラムですか。,K454-B,P0072,K00288,324,1,0
Q0371,I458-C の保証期間は何か月ですか。,I458-C,P0069,K00277,6,1,0
Q0285,F467-B はどのくらいの重さですか。,F467-B,P0166,K00664,387,1,1
Q0026,I468-C は何日以内なら返品できますか。,I468-C,P0173,K00695,7,1,0
Q0528,Y812-B を買うとコードは何本ついてきますか。,Y812-B,P0100,K00402,2,1,1
Q0091,H948-B の重量は何グラムですか。,H948-B,P0014,K00056,408,1,0
Q0437,H357-B の消費電力は何ワットですか。,H357-B,P0118,,,0,0
Q0292,U944-C の重量は何グラムですか。,U944-C,P0041,K00164,422,1,0
Q0339,W962-B の返送はいつまで可能ですか。,W962-B,P0148,K00595,8,1,1
Q0436,S416-C の返送はいつまで可能ですか。,S416-C,P0037,K00151,14,1,1
Q0316,E722-C の重量は何グラムですか。,E722-C,P0009,K00036,291,1,0
Q0241,K765-B の返送はいつまで可能ですか。,K765-B,P0124,K00499,14,1,1
Q0534,E704-B を買うとコードは何本ついてきますか。,E704-B,P0060,K00242,1,1,1
Q0081,A634-B の保証期間は何か月ですか。,A634-B,P0104,K00417,24,1,0
Q0421,I458-B の返送はいつまで可能ですか。,I458-B,P0068,K00275,8,1,1
Q0539,C819-C の返送はいつまで可能ですか。,C819-C,P0057,K00231,8,1,1
Q0377,Q362-B を買うとコードは何本ついてきますか。,Q362-B,P0084,K00338,3,1,1
Q0042,V569-C に付属するケースの色は何色ですか。,V569-C,P0147,,,0,0
Q0583,V114-C の保証期間は何か月ですか。,V114-C,P0095,K00381,18,1,0
Q0453,M468-C に付属するケーブルは何本ですか。,M468-C,P0077,K00310,1,1,0
Q0286,F467-B に付属するケーブルは何本ですか。,F467-B,P0166,K00666,1,1,0
Q0161,Q362-B の保証期間は何か月ですか。,Q362-B,P0084,K00337,36,1,0
Q0520,I416-C はどのくらいの重さですか。,I416-C,P0017,K00068,427,1,1
Q0035,M735-B に付属するケーブルは何本ですか。,M735-B,P0128,K00514,1,1,0
Q0411,S148-B に付属するケーブルは何本ですか。,S148-B,P0140,K00562,1,1,0
Q0132,J455-C は何日以内なら返品できますか。,J455-C,P0019,K00079,14,1,0
Q0333,E795-B の保証期間は何か月ですか。,E795-B,P0112,K00449,6,1,0
Q0550,S148-B の重量は何グラムですか。,S148-B,P0140,K00560,375,1,0
Q0156,R433-B はどれくらいの期間サポートを受けられますか。,R433-B,P0138,K00553,24,1,1
Q0555,U944-B の重量は何グラムですか。,U944-B,P0040,K00160,152,1,0
Q0424,T559-B の重量は何グラムですか。,T559-B,P0038,K00152,429,1,0
Q0243,L419-C はどれくらいの期間サポートを受けられますか。,L419-C,P0023,K00093,24,1,1
Q0587,H907-B はどれくらいの期間サポートを受けられますか。,H907-B,P0066,K00265,6,1,1
Q0005,Y812-C の保証期間は何か月ですか。,Y812-C,P0101,K00405,18,1,0
Q0151,R567-B に付属するケーブルは何本ですか。,R567-B,P0034,K00138,1,1,0
Q0175,E284-B の重量は梱包込みで何グラムですか。,E284-B,P0164,,,0,0
Q0529,D826-C の返送はいつまで可能ですか。,D826-C,P0163,K00655,14,1,1
Q0013,Y812-B は何日以内なら返品できますか。,Y812-B,P0100,K00403,14,1,0
Q0226,C997-C を買うとコードは何本ついてきますか。,C997-C,P0161,K00646,3,1,1
Q0185,W366-B の保証期間は何か月ですか。,W366-B,P0044,K00177,18,1,0
Q0318,V114-C の消費電力は何ワットですか。,V114-C,P0095,,,0,0
Q0383,M242-B の重量は何グラムですか。,M242-B,P0024,K00096,225,1,0
Q0084,U344-B は何日以内なら返品できますか。,U344-B,P0144,K00579,8,1,0
Q0445,P283-C の重量は何グラムですか。,P283-C,P0135,K00540,421,1,0
Q0012,Q104-B に付属するケーブルは何本ですか。,Q104-B,P0032,K00130,3,1,0
Q0034,U662-B に付属するケーブルは何本ですか。,U662-B,P0092,K00370,3,1,0
Q0554,G812-B を買うとコードは何本ついてきますか。,G812-B,P0116,K00466,3,1,1
Q0548,X328-C は何日以内なら返品できますか。,X328-C,P0047,K00191,8,1,0
Q0481,A634-C はどれくらいの期間サポートを受けられますか。,A634-C,P0105,K00421,12,1,1
Q0343,J455-B を買うとコードは何本ついてきますか。,J455-B,P0018,K00074,3,1,1
Q0017,D114-C の保証期間は何か月ですか。,D114-C,P0111,K00445,24,1,0
Q0248,X328-C を買うとコードは何本ついてきますか。,X328-C,P0047,K00190,3,1,1
Q0197,L418-B の重量は何グラムですか。,L418-B,P0126,K00504,235,1,0
Q0560,P283-B の保証期間は何か月ですか。,P283-B,P0134,K00537,6,1,0
Q0134,O372-C の重量は何グラムですか。,O372-C,P0133,K00532,355,1,0
Q0404,T198-C はどれくらいの期間サポートを受けられますか。,T198-C,P0091,K00365,6,1,1
Q0148,Z456-C に付属するケーブルは何本ですか。,Z456-C,P0051,K00206,3,1,0
Q0585,J532-C の重量は梱包込みで何グラムですか。,J532-C,P0123,,,0,0
Q0029,L619-B の重量は何グラムですか。,L619-B,P0178,K00712,335,1,0
Q0542,H421-B は何日以内なら返品できますか。,H421-B,P0170,K00683,7,1,0
Q0329,D342-C に付属するケーブルは何本ですか。,D342-C,P0007,K00030,1,1,0
Q0205,M242-C に付属するケーブルは何本ですか。,M242-C,P0025,K00102,2,1,0
Q0378,C427-B はどれくらいの期間サポートを受けられますか。,C427-B,P0004,K00017,12,1,1
Q0254,B566-B に付属するケーブルは何本ですか。,B566-B,P0054,K00218,3,1,0
Q0429,Y812-C に付属するケーブルは何本ですか。,Y812-C,P0101,K00406,3,1,0
Q0356,S148-B は何日以内なら返品できますか。,S148-B,P0140,K00563,30,1,0
Q0470,U944-C の重量は何グラムですか。,U944-C,P0041,K00164,422,1,0
Q0344,C427-B の保証期間は何か月ですか。,C427-B,P0004,K00017,12,1,0
Q0242,Q362-B の重量は何グラムですか。,Q362-B,P0084,K00336,138,1,0
Q0046,D114-B の重量は何グラムですか。,D114-B,P0110,K00440,253,1,0
Q0115,T359-C の保証期間は何か月ですか。,T359-C,P0143,K00573,6,1,0
Q0119,K765-B を買うとコードは何本ついてきますか。,K765-B,P0124,K00498,1,1,1
Q0490,J556-C は何日以内なら返品できますか。,J556-C,P0071,K00287,7,1,0
Q0165,D114-C の返送はいつまで可能ですか。,D114-C,P0111,K00447,8,1,1
Q0085,S959-C に付属するケーブルは何本ですか。,S959-C,P0089,K00358,3,1,0
Q0301,Q362-C の保証期間は何か月ですか。,Q362-C,P0085,K00341,24,1,0
Q0040,C520-B に付属するケーブルは何本ですか。,C520-B,P0108,K00434,2,1,0
Q0193,B994-C はどれくらいの期間サポートを受けられますか。,B994-C,P0159,K00637,36,1,1
Q0430,Z456-B は何日以内なら返品できますか。,Z456-B,P0050,K00203,7,1,0
Q0298,W308-C の重量は何グラムですか。,W308-C,P0097,K00388,330,1,0
Q0524,T359-C に付属するケーブルは何本ですか。,T359-C,P0143,K00574,2,1,0
Q0559,M468-C は何日以内なら返品できますか。,M468-C,P0077,K00311,7,1,0
Q0260,G812-C は何日以内なら返品できますか。,G812-C,P0117,K00471,8,1,0
Q0434,P944-B はどのくらいの重さですか。,P944-B,P0030,K00120,356,1,1
Q0369,B566-C は何日以内なら返品できますか。,B566-C,P0055,K00223,7,1,0
Q0141,M735-B を買うとコードは何本ついてきますか。,M735-B,P0128,K00514,1,1,1
Q0517,D114-B はどれくらいの期間サポートを受けられますか。,D114-B,P0110,K00441,12,1,1
Q0039,K454-B を買うとコードは何本ついてきますか。,K454-B,P0072,K00290,3,1,1
Q0376,N785-B の保証期間は何か月ですか。,N785-B,P0078,K00313,12,1,0
Q0108,P283-C はどれくらいの期間サポートを受けられますか。,P283-C,P0135,K00541,18,1,1
Q0352,T559-C に付属するケーブルは何本ですか。,T559-C,P0039,K00158,2,1,0
Q0571,A284-C はどのくらいの重さですか。,A284-C,P0053,K00212,429,1,1
Q0020,W308-B はどれくらいの期間サポートを受けられますか。,W308-B,P0096,K00385,24,1,1
Q0133,L745-B の重量は梱包込みで何グラムですか。,L745-B,P0074,,,0,0
Q0428,N785-B の保証期間は何か月ですか。,N785-B,P0078,K00313,12,1,0
Q0150,Y859-C はどのくらいの重さですか。,Y859-C,P0049,K00196,192,1,1
Q0014,H907-B を買うとコードは何本ついてきますか。,H907-B,P0066,K00266,3,1,1
Q0307,N785-B は何日以内なら返品できますか。,N785-B,P0078,K00315,8,1,0
Q0203,I468-B の消費電力は何ワットですか。,I468-B,P0172,,,0,0
Q0426,B566-B を買うとコードは何本ついてきますか。,B566-B,P0054,K00218,3,1,1
Q0070,X328-B の重量は何グラムですか。,X328-B,P0046,K00184,143,1,0
Q0262,C997-C の重量は何グラムですか。,C997-C,P0161,K00644,433,1,0
Q0138,F439-C の返送はいつまで可能ですか。,F439-C,P0115,K00463,7,1,1
Q0101,N425-C の返送はいつまで可能ですか。,N425-C,P0131,K00527,30,1,1
Q0109,A634-B は何日以内なら返品できますか。,A634-B,P0104,K00419,30,1,0
Q0288,L418-C の重量は何グラムですか。,L418-C,P0127,K00508,222,1,0
Q0056,H907-B は何日以内なら返品できますか。,H907-B,P0066,K00267,30,1,0
Q0224,F953-C の重量は何グラムですか。,F953-C,P0063,K00252,314,1,0
Q0456,V569-B の保証期間は何か月ですか。,V569-B,P0146,K00585,36,1,0
Q0563,W962-C は何日以内なら返品できますか。,W962-C,P0149,K00599,7,1,0
Q0144,O372-B の保証期間は何か月ですか。,O372-B,P0132,K00529,24,1,0
Q0190,D414-C はどのくらいの重さですか。,D414-C,P0059,K00236,448,1,1
Q0200,J914-B の保証期間は何か月ですか。,J914-B,P0174,K00697,12,1,0
Q0253,S416-B の保証は延長できますか。,S416-B,P0036,,,0,0
Q0348,H421-C は返品時に送料がかかりますか。,H421-C,P0171,,,0,0
Q0097,A886-B を買うとコードは何本ついてきますか。,A886-B,P0156,K00626,2,1,1
Q0004,L619-B の返送はいつまで可能ですか。,L619-B,P0178,K00715,7,1,1
Q0139,C520-B に付属するケーブルは何本ですか。,C520-B,P0108,K00434,2,1,0
Q0261,F953-B に付属するケーブルは何本ですか。,F953-B,P0062,K00250,1,1,0
Q0120,O924-C の消費電力は何ワットですか。,O924-C,P0029,,,0,0
Q0403,S416-B の保証は延長できますか。,S416-B,P0036,,,0,0
Q0358,B251-B の返送はいつまで可能ですか。,B251-B,P0002,K00011,30,1,1
Q0211,S959-B はどれくらいの期間サポートを受けられますか。,S959-B,P0088,K00353,12,1,1
Q0427,S148-C の保証期間は何か月ですか。,S148-C,P0141,K00565,12,1,0
Q0504,J455-C を買うとコードは何本ついてきますか。,J455-C,P0019,K00078,1,1,1
Q0051,L745-C の消費電力は何ワットですか。,L745-C,P0075,,,0,0
Q0172,U662-C の保証は延長できますか。,U662-C,P0093,,,0,0
Q0323,T559-C の保証期間は何か月ですか。,T559-C,P0039,K00157,18,1,0
Q0167,N425-B を買うとコードは何本ついてきますか。,N425-B,P0130,K00522,2,1,1
Q0176,U944-C を買うとコードは何本ついてきますか。,U944-C,P0041,K00166,3,1,1
Q0309,Z166-C の保証期間は何か月ですか。,Z166-C,P0155,K00621,36,1,0
Q0137,Q946-B に付属するケーブルは何本ですか。,Q946-B,P0136,K00546,1,1,0
Q0441,C819-B は何日以内なら返品できますか。,C819-B,P0056,K00227,7,1,0
Q0212,H907-B の保証期間は何か月ですか。,H907-B,P0066,K00265,6,1,0
Q0443,G624-B の保証は延長できますか。,G624-B,P0064,,,0,0
Q0357,V569-B は何日以内なら返品できますか。,V569-B,P0146,K00587,7,1,0
Q0537,I458-B はどれくらいの期間サポートを受けられますか。,I458-B,P0068,K00273,6,1,1
Q0110,Y859-C に付属するケースの色は何色ですか。,Y859-C,P0049,,,0,0
Q0268,N185-B は返品時に送料がかかりますか。,N185-B,P0026,,,0,0
Q0302,G926-C の重量は何グラムですか。,G926-C,P0013,K00052,165,1,0
Q0095,G926-B の重量は何グラムですか。,G926-B,P0012,K00048,247,1,0
Q0345,G812-C はどれくらいの期間サポートを受けられますか。,G812-C,P0117,K00469,24,1,1
Q0468,M735-B の重量は何グラムですか。,M735-B,P0128,K00512,242,1,0
Q0126,V114-B を買うとコードは何本ついてきますか。,V114-B,P0094,K00378,3,1,1
Q0452,C427-B はどれくらいの期間サポートを受けられますか。,C427-B,P0004,K00017,12,1,1
Q0598,B566-B はどれくらいの期間サポートを受けられますか。,B566-B,P0054,K00217,12,1,1
Q0368,C997-B を買うとコードは何本ついてきますか。,C997-B,P0160,K00642,1,1,1
Q0466,K187-B を買うとコードは何本ついてきますか。,K187-B,P0020,K00082,3,1,1
Q0121,J556-C はどのくらいの重さですか。,J556-C,P0071,K00284,231,1,1
